ID,Source,Sample,Scan  #,Side,Treatment,Region,Sq,Ssk,Sku,Sp,Sv,Sz,Sa,Area size,Analyst
236,E3,E3.1.6B.4,16,Ventral,Unheated,South Africa,97.89,-0.55,2.47,252.69,286.89,539.58,80.97,47251791.96,MM
237,E3,E3.1.6B.4,17,Ventral,Unheated,South Africa,103.97,0.43,5.91,471.24,389.45,860.69,73.57,47548615.44,MM
238,E3,E3.1.6B.4,18,Ventral,Unheated,South Africa,102.04,-1.3,4.86,200.33,461.81,662.14,76.25,47550518.94,MM
239,E3,E3.1.6B.4,19,Ventral,Unheated,South Africa,105.56,-0.32,3.12,273.59,345.19,618.78,81.88,47984271.74,MM
240,E3,E3.1.6B.4,20,Ventral,Unheated,South Africa,150.38,0.23,3.83,512.21,511.76,1023.97,112.01,48246279.55,MM
241,E3,E3.1.1B.12,1,Dorsal,Heated,South Africa,98.26,1.09,3.71,354.01,193.68,547.69,76.73,45841897.71,JM
242,E3,E3.1.1B.12,2,Dorsal,Heated,South Africa,57.88,-0.49,2.96,122.82,187.08,309.9,45.81,45857746.95,JM
243,E3,E3.1.1B.12,3,Dorsal,Heated,South Africa,60.5,0.2,3.34,222.02,176.5,398.52,46.48,46273205.88,JM
244,E3,E3.1.1B.12,4,Dorsal,Heated,South Africa,43.2,0.55,2.59,163.01,105.95,268.96,36.25,46780688.7,JM
245,E3,E3.1.1B.12,5,Dorsal,Heated,South Africa,88.02,-0.15,3,259.3,240.72,500.02,66.62,41140571,JM
246,E3,E3.1.1B.12,6,Ventral,Heated,South Africa,69.93,-0.9,4.01,128.51,320.36,448.87,54.95,44126493.98,JM
247,E3,E3.1.1B.12,7,Ventral,Heated,South Africa,88.13,-0.37,1.95,138.48,213,351.48,75.93,46455963.59,JM
248,E3,E3.1.1B.12,8,Ventral,Heated,South Africa,63.75,0.02,2.2,157.4,186.29,343.69,53.9,47418897.03,JM
249,E3,E3.1.1B.12,9,Ventral,Heated,South Africa,38.37,-0.95,4.25,83.8,184.16,267.96,29.2,46825103.43,JM
250,E3,E3.1.1B.12,10,Ventral,Heated,South Africa,83.88,-1.21,3.77,128.97,320.67,449.64,66.76,45950508,JM
251,E3,E3.1.6B.23,1,Dorsal,Unheated,South Africa,149.32,0.61,3.12,556.52,344.44,900.96,119.5,119322046.1,MM
252,E3,E3.1.6B.23,2,Dorsal,Unheated,South Africa,146.35,0.46,3.16,504.83,342.23,847.06,113.63,122211447.3,MM
253,E3,E3.1.6B.23,3,Dorsal,Unheated,South Africa,191.21,1.43,5.57,818.58,372.04,1190.62,142.95,114369991,MM
254,E3,E3.1.6B.23,4,Dorsal,Unheated,South Africa,217.56,0.32,3.73,747.78,626.78,1374.56,159.69,111734155.1,MM
255,E3,E3.1.6B.23,5,Dorsal,Unheated,South Africa,208.21,0.31,3.67,702.95,777.53,1480.48,160.75,111488466.1,MM
256,E3,E3.1.6B.23,6,Ventral,Unheated,South Africa,135.58,-0.78,3.51,297.59,457.43,755.02,105.12,115274120.7,MM
257,E3,E3.1.6B.23,7,Ventral,Unheated,South Africa,136.75,-0.81,3.65,349.83,510.32,860.15,104.7,111008557.5,MM
258,E3,E3.1.6B.23,8,Ventral,Unheated,South Africa,148.06,-0.99,3.94,343.52,566.28,909.8,113.43,111013946.6,MM
259,E3,E3.1.6B.23,9,Ventral,Unheated,South Africa,149.54,-0.51,2.94,431.2,552.85,984.05,122.24,108028093.8,MM
260,E3,E3.1.6B.23,10,Ventral,Unheated,South Africa,201.89,-0.78,3.27,542.77,593.23,1136,156.19,106942115.6,MM
261,E3,E3.1.6B.6b,1,Dorsal,Unheated,South Africa,124.52,-0.41,2.78,338.08,354.26,692.35,100.58,46453419.29,JM
262,E3,E3.1.6B.6b,2,Dorsal,Unheated,South Africa,134.39,0.46,2.83,395.98,317.28,713.26,107.53,46107463.31,JM
263,E3,E3.1.6B.6b,3,Dorsal,Unheated,South Africa,134.82,-0.45,2.42,307.72,407.55,715.27,112.63,46182820.67,JM
264,E3,E3.1.6B.6b,4,Dorsal,Unheated,South Africa,129.98,0.33,3.56,442.01,365.2,807.21,102.44,45327910.8,JM
265,E3,E3.1.6B.6b,5,Dorsal,Unheated,South Africa,80.25,0.39,2.84,259.9,220.69,480.59,64.62,43483835.82,JM
266,E3,E3.1.6B.6b,6,Ventral,Unheated,South Africa,97.68,0.97,4.27,386.82,209.73,596.55,74.27,44311415.6,JM
267,E3,E3.1.6B.6b,7,Ventral,Unheated,South Africa,173.96,0.45,3.38,538.68,412.49,951.17,127.77,45297202.83,JM
268,E3,E3.1.6B.6b,8,Ventral,Unheated,South Africa,148.58,-0.15,2.53,408.32,421.37,829.69,121.99,45785950.87,JM
269,E3,E3.1.6B.6b,9,Ventral,Unheated,South Africa,114.48,0.21,2.17,288.8,262.4,551.2,96.38,45642237.57,JM
270,E3,E3.1.6B.6b,10,Ventral,Unheated,South Africa,164.85,-0.38,2.29,369.74,501.06,870.8,139.46,40405607.55,JM
271,E3,E3.1.6B.6a,1,Dorsal,Unheated,South Africa,81.82,-0.08,2.98,266.1,260.34,526.44,64.14,47759981.98,MM
272,E3,E3.1.6B.6a,2,Dorsal,Unheated,South Africa,85.27,0.45,2.63,271.59,207.84,479.43,69.27,45105093.77,MM
273,E3,E3.1.6B.6a,3,Dorsal,Unheated,South Africa,67.01,0.05,2.47,201.49,187.04,388.53,55.27,45528925.17,MM
274,E3,E3.1.6B.6a,4,Dorsal,Unheated,South Africa,102.8,0.46,2.82,323.39,242.98,566.37,80.41,40107924.5,MM
275,E3,E3.1.6B.6a,5,Ventral,Unheated,South Africa,59.01,0.8,3.55,221.19,148.31,369.5,46.05,47532067.43,MM
276,E3,E3.1.6B.6a,6,Ventral,Unheated,South Africa,122.99,-0.29,2.62,302.39,399.02,701.41,100.05,47846824.11,MM
277,E3,E3.1.6B.6a,7,Ventral,Unheated,South Africa,111.45,0.84,3.14,357.15,248.44,605.59,88.77,54428463.19,MM
278,E3,E3.1.6B.13a,1,Dorsal,Unheated,South Africa,83.49,0.63,3.86,334.76,222.75,557.51,63.82,47407331.66,MM
279,E3,E3.1.6B.13a,2,Dorsal,Unheated,South Africa,98.96,1.16,4.28,430.58,203.15,633.73,74.9,47422931.3,MM
280,E3,E3.1.6B.13a,3,Dorsal,Unheated,South Africa,148.43,-0.24,3.38,443.57,489.88,933.45,112.57,105109417.9,MM
281,E3,E3.1.6B.13a,4,Dorsal,Unheated,South Africa,183.58,0.75,2.54,523.18,330.82,854,153.29,105326922.5,MM
282,E3,E3.1.6B.13a,5,Dorsal,Unheated,South Africa,132.63,-0.87,3.37,353.56,440.11,793.67,104.31,46886708.74,MM
283,E3,E3.1.6B.13a,6,Ventral,Unheated,South Africa,84.21,-0.71,4.18,291.6,331.69,623.29,64.72,53019768.14,MM
284,E3,E3.1.6B.13a,7,Ventral,Unheated,South Africa,116.9,-0.23,2.58,336.04,398.86,734.9,94.6,44205554.7,MM
285,E3,E3.1.6B.13a,8,Ventral,Unheated,South Africa,103.34,0.07,1.88,245.83,260.28,506.11,90.34,47572962.4,MM
286,E3,E3.1.6B.13a,9,Ventral,Unheated,South Africa,80.88,-0.92,4.33,207.47,382.15,589.62,61,47636582.97,MM
287,E3,E3.1.6B.13a,10,Ventral,Unheated,South Africa,119.11,-0.17,2.56,294.24,351.26,645.5,96.17,47745953.87,MM
288,E3,E3.1.6B.22b,1,Dorsal,Unheated,South Africa,158.76,0.19,2.76,529.75,546.53,1076.28,130.38,68853247.27,MM
289,E3,E3.1.6B.22b,2,Dorsal,Unheated,South Africa,92.1,0.58,3.76,294.6,366.01,660.61,71.89,47243560.1,MM
290,E3,E3.1.6B.22b,3,Dorsal,Unheated,South Africa,109.02,0.8,3.53,408.14,283.98,692.12,83.58,47119020.98,MM
291,E3,E3.1.6B.22b,4,Dorsal,Unheated,South Africa,118.86,-0.11,2.94,446.36,456.05,902.41,96.16,53520073.98,MM
292,E3,E3.1.6B.22b,5,Ventral,Unheated,South Africa,116.98,0.5,2.74,351.54,287.15,638.69,95.53,42336178.25,MM
293,E3,E3.1.6B.22b,6,Ventral,Unheated,South Africa,97.89,-0.45,3.21,256.65,314.13,570.78,75.92,49299499.6,MM
294,E3,E3.1.6B.22b,7,Ventral,Unheated,South Africa,149.66,0,2.43,469.99,448.67,918.66,123.5,47184422.44,MM
295,E3,E3.1.6B.22b,8,Ventral,Unheated,South Africa,138.4,0.15,2.16,366.77,297.54,664.31,116.09,42416870.76,MM
296,E3,E3.1.6B.22b,9,Ventral,Unheated,South Africa,150.38,0.18,2.34,412.22,412.23,824.45,124.62,44476126.39,MM
297,E3,E3.1.6B.22a,1,Dorsal,Unheated,South Africa,95.8,-1.25,4.19,186.62,366.62,553.24,73.85,45760819.9,MM
298,E3,E3.1.6B.22a,2,Dorsal,Unheated,South Africa,88.95,-0.56,3.18,222.79,352.73,575.52,72.03,48866810.83,MM
299,E3,E3.1.6B.22a,3,Dorsal,Unheated,South Africa,69.04,-0.22,3.5,230.04,317.38,547.42,54.76,49544965.5,MM
300,E3,E3.1.6B.22a,4,Dorsal,Unheated,South Africa,115.62,0.28,2.35,343.17,232.44,575.61,96.4,48360682.18,MM
301,E3,E3.1.6B.22a,5,Dorsal,Unheated,South Africa,88.43,-0.47,3.34,291.01,313.19,604.2,69.38,48000969.09,MM
302,E3,E3.1.6B.22a,6,Ventral,Unheated,South Africa,55.79,0.53,3.11,207.65,138.13,345.78,44.72,49230331.71,MM
303,E3,E3.1.6B.22a,7,Ventral,Unheated,South Africa,64.12,0.8,3.32,235.9,157.18,393.08,51.2,48872215.44,MM
304,E3,E3.1.6B.22a,8,Ventral,Unheated,South Africa,90.08,-0.42,2.99,208.97,315.61,524.58,71.77,47407138.49,MM
305,E3,E3.1.6B.22a,9,Ventral,Unheated,South Africa,126.76,0.27,2.49,385.22,310.37,695.59,104.68,45718998.9,MM
306,E3,E3.1.6B.22a,10,Ventral,Unheated,South Africa,138.07,-0.31,2.72,311.03,430.34,741.37,111.15,47175354.78,MM
307,E3,E3.1.6B.13b,1,Dorsal,Unheated,South Africa,131.23,-0.46,3.17,340.75,453.09,793.84,104.44,49285421.8,MM
308,E3,E3.1.6B.13b,2,Dorsal,Unheated,South Africa,99.92,-0.12,2.81,419.1,314.9,734,81.46,65349924.47,MM
309,E3,E3.1.6B.13b,3,Dorsal,Unheated,South Africa,120.16,-0.08,2.51,319.93,316.34,636.27,97.28,64122220.08,MM
310,E3,E3.1.6B.13b,4,Ventral,Unheated,South Africa,134.24,-0.84,6.01,454.35,594.89,1049.24,91.82,47179105.22,MM
311,E3,E3.1.6B.13b,5,Ventral,Unheated,South Africa,140.22,-0.97,4.55,324.93,494.57,819.5,102.38,47937362.77,MM
312,E3,E3.1.6B.13b,6,Ventral,Unheated,South Africa,105.45,-0.01,3.31,371.81,295.25,667.06,80.53,45896901.47,MM
313,E3,E3.1.6B.13b,7,Ventral,Unheated,South Africa,136.26,0.21,3.05,399.09,583.85,982.94,109.79,47733199.97,MM
314,E3,E3.1.6B.13b,8,Ventral,Unheated,South Africa,157.13,0.21,3.09,495.07,383.3,878.37,125.01,49526885.25,MM
315,E3,E3.1.1B.8,1,Dorsal,Heated,South Africa,90.78,0.97,3.45,274.44,215.7,490.14,70.47,46373645.83,JM
316,E3,E3.1.1B.8,2,Dorsal,Heated,South Africa,53.88,0.43,2.89,206.57,151.29,357.86,43.42,46764470.87,JM
317,E3,E3.1.1B.8,3,Dorsal,Heated,South Africa,51.16,0.54,3.37,181.67,134.08,315.75,40.67,46593815.11,JM
318,E3,E3.1.1B.8,4,Dorsal,Heated,South Africa,52.31,0.52,2.95,213.67,117.48,331.15,43.19,46091062.49,JM
319,E3,E3.1.1B.8,5,Dorsal,Heated,South Africa,52.52,0.11,2.91,164.23,173.44,337.67,41.76,45970903.14,JM
320,E3,E3.1.1B.8,6,Ventral,Heated,South Africa,42.3,-0.42,2.91,107.31,154.95,262.26,33.97,45641693.55,JM
321,E3,E3.1.1B.8,7,Ventral,Heated,South Africa,66.45,-0.79,4.09,136.7,317.18,453.88,52.05,45843003.47,JM
322,E3,E3.1.1B.8,8,Ventral,Heated,South Africa,55.96,0.14,2.65,156.57,149.69,306.26,44.37,45310333.87,JM
323,E3,E3.1.1B.8,9,Ventral,Heated,South Africa,74.25,-0.12,2.3,198.99,211.16,410.15,62.37,45422814.33,JM
324,E3,E3.1.1B.8,10,Ventral,Heated,South Africa,54.09,-1.26,4.55,87.47,255.62,343.09,42.54,44707878.48,JM
325,E3,E3.1.6B.2,1,Dorsal,Unheated,South Africa,108.92,-0.75,3.93,332.06,407.24,739.3,81.1,47162895,MM
326,E3,E3.1.6B.2,2,Dorsal,Unheated,South Africa,100.16,-0.32,3.32,277.55,316.2,593.75,75.42,47970151.62,MM
327,E3,E3.1.6B.2,3,Dorsal,Unheated,South Africa,150.24,1.83,6.21,641.2,229.2,870.4,107.69,47412434.13,MM
328,E3,E3.1.6B.2,4,Dorsal,Unheated,South Africa,150.5,0.35,2.57,408.24,363.36,771.6,122.93,49102840.66,MM
329,E3,E3.1.6B.2,5,Dorsal,Unheated,South Africa,82.8,0.11,3.94,331.13,280.1,611.23,63.17,49638760.32,MM
330,E3,E3.1.6B.2,6,Ventral,Unheated,South Africa,92.18,0.7,3.51,303.54,227.15,530.69,70.86,48481019.12,MM
331,E3,E3.1.6B.2,7,Ventral,Unheated,South Africa,82.11,0.22,2.76,261.12,234.17,495.29,65.5,48044448.45,MM
332,E3,E3.1.6B.2,8,Ventral,Unheated,South Africa,67.86,0.73,3.53,283.28,166.3,449.58,52.71,47319102.56,MM
333,E3,E3.1.6B.2,9,Ventral,Unheated,South Africa,87.1,-0.15,2.89,257.54,301.87,559.41,69.29,46837032.76,MM
334,E3,E3.1.6B.2,10,Ventral,Unheated,South Africa,72.86,-0.7,3.63,159.98,310.39,470.37,56.95,47972423.5,MM
335,E3,E3.1.1B.10,1,Dorsal,Heated,South Africa,90.27,0.96,3.61,354.56,172.9,527.46,73.55,47560527.4,MM
336,E3,E3.1.1B.10,2,Dorsal,Heated,South Africa,40.96,1.19,4.46,164.59,123.42,288.01,30.84,48293748.05,MM
337,E3,E3.1.1B.10,3,Dorsal,Heated,South Africa,37.79,-0.16,3.39,123.57,169.21,292.78,30.22,47313582.07,MM
338,E3,E3.1.1B.10,4,Dorsal,Heated,South Africa,27.42,0.25,2.44,87.57,84.49,172.06,22.77,48114542.26,MM
339,E3,E3.1.1B.10,5,Dorsal,Heated,South Africa,46.88,0.72,3.33,169.07,112.76,281.83,36.68,45380026.58,MM
340,E3,E3.1.1B.10,6,Ventral,Heated,South Africa,42.64,-1.03,5.12,87.21,227.15,314.36,32.8,47764790.06,MM
341,E3,E3.1.1B.10,7,Ventral,Heated,South Africa,52.74,0.41,2.34,140.08,127.51,267.59,43.48,47858139.2,MM
342,E3,E3.1.1B.10,8,Ventral,Heated,South Africa,41.72,-0.35,2.67,122.16,139.82,261.98,34,47733346.13,MM
343,E3,E3.1.1B.10,9,Ventral,Heated,South Africa,50.16,-0.93,3.64,113.43,206.64,320.07,39.86,47156915.19,MM
344,E3,E3.1.1B.10,10,Ventral,Heated,South Africa,33.43,0.03,2.82,106.81,142.44,249.25,26.61,47466625.53,MM
345,E3,E3.1.1B.24,1,Dorsal,Heated,South Africa,58.56,-0.79,2.88,111.17,186.18,297.35,47.2,47740163.08,MM
346,E3,E3.1.1B.24,2,Dorsal,Heated,South Africa,66.03,0.22,2.86,200.24,169.2,369.44,50.94,50260344.22,MM
347,E3,E3.1.1B.24,3,Dorsal,Heated,South Africa,44.17,0.03,2.95,116.08,184.73,300.81,34.95,48221402.46,MM
348,E3,E3.1.1B.24,4,Dorsal,Heated,South Africa,50.04,0.32,2.53,131.3,155.7,287,39.91,48098390.41,MM
349,E3,E3.1.1B.24,5,Dorsal,Heated,South Africa,67.56,-0.51,2.65,147.98,211.47,359.45,55.96,44601973.78,MM
350,E3,E3.1.1B.24,6,Ventral,Heated,South Africa,59.87,-0.35,2.53,152.6,183.61,336.21,48.74,48117305.89,MM
351,E3,E3.1.1B.24,7,Ventral,Heated,South Africa,37.32,0.63,3,154.2,96.78,250.98,30.28,47753858.38,MM
352,E3,E3.1.1B.24,8,Ventral,Heated,South Africa,51.76,-0.33,2.77,182.62,192.68,375.3,42.38,47090403.93,MM
353,E3,E3.1.1B.24,9,Ventral,Heated,South Africa,28.86,-0.26,2.92,78.74,104.78,183.52,22.96,47952470.96,MM
354,E3,E3.1.1B.24,10,Ventral,Heated,South Africa,47.72,-0.75,3.18,91.19,182.6,273.79,38.02,47374259.01,MM
355,E3,E3.1.1B.38,1,Dorsal,Heated,South Africa,55.69,0.68,4.07,220.5,145.54,366.04,41.63,55860208.05,MM
356,E3,E3.1.1B.38,2,Dorsal,Heated,South Africa,53.48,0.66,2.79,186.88,110.55,297.43,43.55,54967034.2,MM
357,E3,E3.1.1B.38,3,Dorsal,Heated,South Africa,86.02,0.65,2.51,251.1,147.22,398.32,72.28,54993314.85,MM
358,E3,E3.1.1B.38,4,Dorsal,Heated,South Africa,61.37,0.28,3.48,235.8,189.62,425.42,47.82,51938986.93,MM
359,E3,E3.1.1B.38,5,Dorsal,Heated,South Africa,75.01,0.97,4.38,298.88,215.24,514.12,56.74,53005748.2,MM
360,E3,E3.1.1B.38,6,Ventral,Heated,South Africa,45.89,-0.08,2.36,107.71,165.21,272.92,37.84,48059888.54,MM
361,E3,E3.1.1B.38,7,Ventral,Heated,South Africa,64.94,-1.6,6.25,115.03,290.25,405.28,46.98,47133249.83,MM
362,E3,E3.1.1B.38,8,Ventral,Heated,South Africa,63.05,0.69,3.2,242.39,172.28,414.67,51.14,47621775.28,MM
363,E3,E3.1.1B.38,9,Ventral,Heated,South Africa,54.15,-1.05,4.11,89.49,236.3,325.79,42.52,47335021.4,MM
364,E3,E3.1.1B.38,10,Ventral,Heated,South Africa,48.38,0.8,3.23,193.56,119.87,313.43,39.4,47803529.34,MM
365,E3,E3.1.1B.27,1,Dorsal,Heated,South Africa,53.51,0.31,2.99,194.08,157.99,352.07,42.8,51275707.4,MM
366,E3,E3.1.1B.27,2,Dorsal,Heated,South Africa,53.04,0.32,3,198.48,157.03,355.51,42.46,51020576.28,MM
367,E3,E3.1.1B.27,3,Dorsal,Heated,South Africa,63.69,1.62,7.69,379.01,143.89,522.9,46.84,51078172.67,MM
368,E3,E3.1.1B.27,4,Dorsal,Heated,South Africa,33.33,0.41,2.61,116.21,105.86,222.07,27.36,49709859.3,MM
369,E3,E3.1.1B.27,5,Dorsal,Heated,South Africa,42.44,0.65,2.77,143.18,122.81,265.99,35.22,49711148.77,MM
370,E3,E3.1.1B.27,6,Ventral,Heated,South Africa,70.03,-1.12,4.92,140.42,292.06,432.48,52.03,47475635.19,MM
371,E3,E3.1.1B.27,7,Ventral,Heated,South Africa,61.31,-0.04,1.86,132.52,181.79,314.31,53.5,47600406.9,MM
372,E3,E3.1.1B.27,8,Ventral,Heated,South Africa,53.83,-1.86,6.8,84.71,253.65,338.36,37.54,47819125.81,MM
373,E3,E3.1.1B.27,9,Ventral,Heated,South Africa,41.86,-0.93,3.84,86.65,178.4,265.05,32.97,47475143.96,MM
374,E3,E3.1.1B.27,10,Ventral,Heated,South Africa,35.02,-0.77,3.49,82.15,162.38,244.53,27.71,47381565.18,MM
375,E3,E3.1.1B.18,1,Dorsal,Heated,South Africa,24.06,0.14,3.49,125.41,196.79,322.2,18.71,47086644.65,MM
376,E3,E3.1.1B.18,2,Dorsal,Heated,South Africa,62.78,0.45,2.14,185.47,150.23,335.7,53.28,47553556.1,MM
377,E3,E3.1.1B.18,3,Dorsal,Heated,South Africa,51.58,0.96,3.45,192.31,146.84,339.15,40.59,47551468.39,MM
378,E3,E3.1.1B.18,4,Dorsal,Heated,South Africa,30.83,0.17,2.56,91.88,100.41,192.29,25.04,47444442.26,MM
379,E3,E3.1.1B.18,5,Dorsal,Heated,South Africa,41.14,0.45,2.78,134.03,153.4,287.43,33.23,47319056.52,MM
380,E3,E3.1.1B.18,6,Ventral,Heated,South Africa,35.97,0,2.35,99.36,104.63,203.99,30.12,48858284.12,MM
381,E3,E3.1.1B.18,7,Ventral,Heated,South Africa,28.43,-0.44,3.35,84.34,108.25,192.59,22.13,48521242.77,MM
382,E3,E3.1.1B.18,8,Ventral,Heated,South Africa,36.72,-0.84,3.47,156.42,149.81,306.23,28.77,48036834.11,MM
383,E3,E3.1.1B.18,9,Ventral,Heated,South Africa,35.69,-0.02,2.93,126.41,131.58,257.99,28.93,47349119.95,MM
384,E3,E3.1.1B.18,10,Ventral,Heated,South Africa,55.94,-0.25,3.21,241.23,170.38,411.6,43.79,47709433.05,
385,E3,E3.1.1B.33,1,Dorsal,Heated,South Africa,44.68,1.41,4.79,171.63,94.58,266.21,33.57,48858161.31,MM
386,E3,E3.1.1B.33,2,Dorsal,Heated,South Africa,28.97,0.15,2.64,86.68,94.48,181.16,23.66,48658785.61,MM
387,E3,E3.1.1B.33,3,Dorsal,Heated,South Africa,36.55,-0.35,2.87,118.19,137.6,255.79,29.41,48630478.8,MM
388,E3,E3.1.1B.33,4,Dorsal,Heated,South Africa,42.39,1.08,5.25,254.64,96.23,350.87,32.13,63610980.92,MM
389,E3,E3.1.1B.33,5,Dorsal,Heated,South Africa,59.7,0.9,3.15,237.32,110.47,347.79,48.82,65612904.56,MM
390,E3,E3.1.1B.33,6,Ventral,Heated,South Africa,50.85,0.4,2.44,145.53,125.81,271.34,42.02,45390360.5,MM
391,E3,E3.1.1B.33,7,Ventral,Heated,South Africa,60.18,-0.28,2.31,137.62,177.09,314.71,50.07,43933074.39,MM
392,E3,E3.1.1B.33,8,Ventral,Heated,South Africa,39.17,0.44,3.92,148.36,103.63,251.99,29.6,47617677.28,MM
393,E3,E3.1.1B.33,9,Ventral,Heated,South Africa,29.81,0.31,3,101.17,108.13,209.3,23.32,46978502.7,MM
394,E3,E3.1.1B.33,10,Ventral,Heated,South Africa,42.51,0.18,2.72,129.14,139.71,268.85,34.53,46988082.03,MM
395,E3,E3.1.1B.25b,1,Dorsal,Heated,South Africa,46.39,0.66,3.27,159.62,140.87,300.49,35.8,46832121.2,JM
396,E3,E3.1.1B.25b,2,Dorsal,Heated,South Africa,62.66,-0.88,3.43,144.55,197.79,342.34,48.42,46896016.83,JM
397,E3,E3.1.1B.25b,3,Dorsal,Heated,South Africa,78.9,0.44,4.33,282.5,252.8,535.3,55.06,41247704.15,JM
398,E3,E3.1.1B.25b,4,Dorsal,Heated,South Africa,64.88,-0.05,2.67,167.58,252.44,420.02,54.64,46631525.76,JM
399,E3,E3.1.1B.25b,5,Ventral ,Heated,South Africa,32.12,-0.85,3.34,77.98,212.07,290.05,26.04,46261422.59,JM
400,E3,E3.1.1B.25b,6,Ventral ,Heated,South Africa,76.66,0.45,2.99,228.24,194.01,422.25,59.16,42612858.97,JM
401,E3,E3.1.1B.25b,7,Ventral ,Heated,South Africa,66.32,-1.14,4.74,179.81,289.19,469,50.36,46278440.94,JM
402,E3,E3.1.1B.25b,8,Ventral ,Heated,South Africa,23.4,-0.4,3.21,67,112.98,179.98,18.78,46942648.36,JM
403,E3,E3.1.1B.25a,1,Dorsal,Heated,South Africa,39.94,0.84,3.49,155.3,202.05,357.35,32.02,46426463.27,JM
404,E3,E3.1.1B.25a,2,Dorsal,Heated,South Africa,68.61,0.08,2.44,227.01,172.81,399.82,56.16,45831578.15,JM
405,E3,E3.1.1B.25a,3,Dorsal,Heated,South Africa,53.53,0.02,2.95,150.01,178.7,328.71,41.84,45935976.29,JM
406,E3,E3.1.1B.25a,4,Dorsal,Heated,South Africa,34.76,0.58,3.1,131,136.62,267.62,28.65,44630324.12,JM
407,E3,E3.1.1B.25a,5,Dorsal,Heated,South Africa,32.22,-1.15,6.6,90.35,211.07,301.42,23.14,45858598.85,JM
408,E3,E3.1.1B.25a,6,Ventral ,Heated,South Africa,55.96,-0.92,3.47,108.21,220.14,328.35,45.46,45506777.14,JM
409,E3,E3.1.1B.25a,7,Ventral ,Heated,South Africa,36.38,-0.26,2.55,93.18,135.7,228.88,30.23,45126706.53,JM
410,E3,E3.1.1B.25a,8,Ventral ,Heated,South Africa,44.75,-0.38,2.05,106.42,159.36,265.78,38.64,45927378.79,JM
411,E3,E3.1.1B.25a,9,Ventral ,Heated,South Africa,54.7,0.46,3.02,180.05,157.08,337.13,43.52,44735397.77,JM
412,E3,E3.1.1B.25a,10,Ventral ,Heated,South Africa,34.83,0,2.84,104.39,136.1,240.49,27.63,45581698.16,JM
413,E3,E3.1.1B.30,1,Dorsal,Heated,South Africa,37.08,-0.32,2.98,121.28,157.18,278.46,29.49,49752578.1,MM
414,E3,E3.1.1B.30,2,Dorsal,Heated,South Africa,34.2,0,2.8,135.7,116.52,252.22,27.5,51193653.05,MM
415,E3,E3.1.1B.30,3,Dorsal,Heated,South Africa,32.71,-0.37,2.73,186.61,114.42,301.03,26.55,50232035.8,MM
416,E3,E3.1.1B.30,4,Dorsal,Heated,South Africa,39.75,0.51,4.13,139.53,151.46,290.99,29.14,50929546.04,MM
417,E3,E3.1.1B.30,5,Dorsal,Heated,South Africa,50.23,-0.09,3.72,252.79,200.11,452.9,37.61,72366364.76,MM
418,E3,E3.1.1B.30,6,Ventral,Heated,South Africa,43.29,-1.51,9.28,120.9,318.36,439.26,30.73,47399440.52,MM
419,E3,E3.1.1B.30,7,Ventral,Heated,South Africa,51.62,0,3.81,244.31,161.36,405.67,40.24,48289336.2,MM
420,E3,E3.1.1B.30,8,Ventral,Heated,South Africa,28.14,0.16,2.91,160.11,104.08,264.19,22.65,48124525.34,MM
421,E3,E3.1.1B.30,9,Ventral,Heated,South Africa,36.55,-0.37,2.83,138.5,123.82,262.32,29.53,47414438.61,MM
422,E3,E3.1.1B.30,10,Ventral,Heated,South Africa,44.23,-0.96,3.24,83.84,166.99,250.83,36.11,47686155.47,MM
423,E3,E3.1.1B.14,1,Dorsal,Heated,South Africa,61.02,0.82,2.81,215.69,123.56,339.25,50.39,48345030.48,MM
424,E3,E3.1.1B.14,2,Dorsal,Heated,South Africa,49.88,0.12,2.62,163.02,143.19,306.21,40.39,45352890.55,MM
425,E3,E3.1.1B.14,3,Dorsal,Heated,South Africa,56.82,-0.33,3.96,181.24,223.75,404.99,43.01,42493323.89,MM
426,E3,E3.1.1B.14,4,Ventral,Heated,South Africa,47.61,-0.77,3.18,112.32,201.91,314.23,38.17,48618343.87,MM
427,E3,E3.1.1B.14,5,Ventral,Heated,South Africa,60.73,-0.26,2.7,154.46,193.48,347.94,48.93,44426965.46,MM
428,E3,E3.1.1B.14,6,Ventral,Heated,South Africa,61.79,-0.79,3.08,153.13,207.87,361,50.14,48774742.25,MM
429,E3,E3.1.1B.2,1,Dorsal,Heated,South Africa,82.83,0.47,2.72,265.59,228.92,494.51,67.42,46255280.21,MM
430,E3,E3.1.1B.2,2,Dorsal,Heated,South Africa,58.57,-0.99,3.61,135.2,201.28,336.48,46.4,44311332.61,MM
431,E3,E3.1.1B.2,3,Dorsal,Heated,South Africa,28.21,0,2.58,101.99,91.42,193.41,23.17,45429397.24,MM
432,E3,E3.1.1B.2,4,Dorsal,Heated,South Africa,44.52,-0.6,3.41,108.55,163.16,271.71,34.7,39438322.17,MM
433,E3,E3.1.1B.2,5,Ventral,Heated,South Africa,50.6,-1.53,5.53,90.78,266.08,356.86,37.43,45376401.7,MM
434,E3,E3.1.1B.2,6,Ventral,Heated,South Africa,52.68,-0.8,3.46,110.02,207.38,317.4,41.91,47494626.64,MM
435,E3,E3.1.1B.2,7,Ventral,Heated,South Africa,66.04,-0.44,2.39,156.89,171.92,328.81,54.74,43155133.29,MM
