ID,Source,Sample,Scan  #,Side,Treatment,Region,Sq,Ssk,Sku,Sp,Sv,Sz,Sa,Area size,Analyst
120,D9,D9.1.10B,20,Ventral,Heated,South Africa,43.91,-1.05,4.92,127.12,218.71,345.83,32.36,26064787.9,MM
121,E3,E3.1.6b,1,Dorsal,Unheated,South Africa,103.87,-0.01,2.97,451.76,328.53,780.29,83.73,30336016.72,MM
122,E3,E3.1.6b,2,Dorsal,Unheated,South Africa,122.33,0.36,2.93,378.75,347.52,726.27,98.74,31733327.11,MM
123,E3,E3.1.6b,3,Dorsal,Unheated,South Africa,110.59,0.14,2.41,272.95,298.16,571.11,89.28,27277771.43,MM
124,E3,E3.1.6b,4,Dorsal,Unheated,South Africa,112.66,0.35,2.75,340.49,315.8,656.29,90.92,27412926.18,MM
125,E3,E3.1.6b,5,Dorsal,Unheated,South Africa,167.93,0.82,2.68,550.48,253.41,803.89,140.38,28284334.07,MM
126,E3,E3.1.6b,6,Dorsal,Unheated,South Africa,122.51,-0.42,2.88,279.51,357.58,637.09,95.29,27083795.19,MM
127,E3,E3.1.6b,7,Dorsal,Unheated,South Africa,153.78,-0.06,2.85,417.57,435.06,852.63,119.39,27555507.01,MM
128,E3,E3.1.6b,8,Dorsal,Unheated,South Africa,160.08,0.14,2.33,455.69,342.06,797.75,132.96,27650733.6,MM
129,E3,E3.1.6b,9,Dorsal,Unheated,South Africa,108.46,-1.63,6.23,236.46,497.35,733.81,75.14,26025526.28,MM
130,E3,E3.1.6b,10,Dorsal,Unheated,South Africa,95,0.38,2.49,258.13,235.62,493.75,76.63,20116711.4,MM
131,E3,E3.1.6b,11,Ventral,Unheated,South Africa,70.38,-0.18,2.55,200.32,232.28,432.6,58.25,26626348.36,MM
132,E3,E3.1.6b,12,Ventral,Unheated,South Africa,94.46,0.28,2.58,278.42,272.06,550.48,76.99,49617085.1,MM
133,E3,E3.1.6b,13,Ventral,Unheated,South Africa,86.35,0.51,2.66,254.9,183.13,438.03,69.18,26372687.11,MM
134,E3,E3.1.6b,14,Ventral,Unheated,South Africa,115.13,0.47,3.85,525.55,325.89,851.44,88.62,47279177.04,MM
135,E3,E3.1.6b,15,Ventral,Unheated,South Africa,83.73,0.22,3.22,288.78,237.63,526.41,64.28,26265751.49,MM
136,E3,E3.1.6b,16,Ventral,Unheated,South Africa,138.76,0.58,4.24,504.05,371.84,875.89,103.82,25493058.72,MM
